Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
1/2-SBSRNA4,-0.03,-9.9,6.65,3.1,0.17
A1BG,-2.79,-35.06,9.92,27.95,-0.03
A1BG-AS1,-2.79,-35.06,9.92,27.95,-0.03
A1CF,0.86,65.96,-65.39,-1.05,-0.39
A2LD1,-0.05,9.18,-10.35,1.99,-0.78
A2M,0.52,6.25,-6.27,1.67,-2.18
A2ML1,0.34,5.91,-5.92,1.67,-2.01
A2MP1,0.17,6.08,-5.75,1.67,-2.18
A4GALT,-0.25,21.52,-21.35,0.45,-0.39
A4GNT,0.0,1.64,-11.91,10.1,0.17
AA06,0.34,7.43,-13.03,5.26,0.0
AAA1,0.0,0.42,-57.57,56.37,0.78
AAAS,-0.59,-0.55,-4.94,5.93,0.14
AACS,0.17,-0.65,-3.31,4.65,-0.85
AACSP1,-0.03,-0.97,-4.61,5.99,-0.39
AADAC,-0.2,0.93,-11.35,10.44,0.17
AADACL2,-0.2,0.93,-11.35,10.44,0.17
AADACL3,-0.03,-26.6,14.71,11.57,0.34
AADACL4,-0.03,-26.43,14.71,11.4,0.34
AADAT,-2.25,-9.64,8.45,3.44,0.0
AAGAB,0.0,8.66,-11.48,2.83,0.0
AAK1,0.0,3.59,-6.04,2.44,0.0
AAMP,-0.03,1.22,-3.66,2.49,-0.03
AANAT,0.0,5.21,-10.56,6.04,-0.68
AARS,0.0,11.82,-14.98,3.15,0.0
AARS2,0.0,8.34,-12.08,3.27,0.47
AARSD1,-0.03,5.59,-11.61,5.88,0.17
AASDH,-0.2,-4.16,-1.85,4.04,2.16
AASDHPPT,0.0,12.56,-2.41,-9.72,-0.42
AASS,0.0,0.08,-47.49,47.56,-0.14
AATF,0.34,8.34,-13.35,4.87,-0.2
AATK,-0.2,7.62,-11.65,5.4,-1.17
AATK-AS1,-0.2,7.79,-11.82,5.4,-1.17
ABAT,0.0,8.4,-13.13,4.57,0.14
ABCA1,0.0,1.61,-10.22,8.64,-0.03
ABCA10,0.0,4.55,-9.31,5.96,-1.2
ABCA11P,0.13,0.98,-3.66,2.56,0.0
ABCA12,-0.03,1.05,-3.49,2.46,0.0
ABCA13,0.0,1.63,-56.9,53.64,1.64
ABCA17P,0.17,9.21,-14.58,4.87,0.32
ABCA2,0.0,3.3,-10.96,7.75,-0.09
ABCA3,0.17,9.73,-14.58,4.53,0.14
ABCA4,-0.2,-28.94,19.08,10.24,-0.2
ABCA5,0.0,4.38,-9.14,5.96,-1.2
ABCA6,0.0,4.55,-9.31,5.96,-1.2
ABCA7,0.34,1.17,-19.8,20.22,-1.93
ABCA8,0.0,4.55,-9.51,5.96,-1.0
ABCA9,0.0,4.55,-9.51,5.96,-1.0
ABCB1,0.0,0.44,-54.56,52.6,1.52
ABCB10,0.0,2.3,-11.23,8.58,0.34
ABCB11,0.17,2.17,-5.15,2.63,0.17
ABCB4,0.0,0.44,-54.76,52.79,1.52
ABCB5,0.0,0.52,-56.49,55.51,0.47
ABCB6,-0.03,1.39,-3.84,2.46,0.0
ABCB8,0.0,0.57,-49.36,49.33,-0.54
ABCB9,-0.03,-0.82,-3.24,4.73,-0.64
ABCC1,0.0,8.63,-13.08,4.65,-0.2
ABCC10,0.0,8.87,-12.27,3.27,0.13
ABCC11,0.17,12.16,-14.8,2.67,-0.2
ABCC12,0.17,12.16,-14.8,2.67,-0.2
ABCC13,0.32,1.09,-7.46,5.54,0.52
ABCC2,-0.2,66.35,-66.3,-0.03,0.17
ABCC3,0.0,4.13,-11.8,7.5,0.17
ABCC4,-0.05,10.63,-11.67,1.48,-0.39
ABCC5,0.0,-0.59,-13.9,12.55,1.94
ABCC6,0.0,8.63,-13.08,4.65,-0.2
ABCC6P1,0.0,8.63,-13.08,4.65,-0.2
ABCC6P2,0.0,8.63,-13.08,4.65,-0.2
ABCC8,0.0,4.15,-1.54,-2.22,-0.39
ABCC9,0.0,4.9,-7.04,2.46,-0.31
ABCD2,0.17,1.22,-5.89,4.75,-0.25
ABCD3,-0.2,-29.8,19.57,10.62,-0.2
ABCD4,-0.03,6.81,-9.98,3.02,0.17
ABCE1,-1.42,-10.43,7.65,4.2,0.0
ABCF1,0.0,8.44,-10.75,2.51,-0.2
ABCF2,0.0,0.77,-49.19,49.33,-0.9
ABCF3,0.0,-0.77,-13.38,12.55,1.6
ABCG1,0.17,2.4,-8.85,6.47,-0.2
ABCG2,-0.2,-7.42,4.32,3.13,0.17
ABCG4,0.0,11.15,1.67,-10.83,-2.01
ABCG5,0.0,2.2,-4.59,2.59,-0.2
ABCG8,0.0,2.2,-4.59,2.59,-0.2
ABHD1,0.0,2.69,-5.45,2.59,0.17
ABHD10,-0.78,1.18,-9.14,8.77,-0.03
ABHD11,-0.39,0.05,-57.35,56.2,1.5
ABHD11-AS1,-0.39,0.05,-57.35,56.2,1.5
ABHD12,-0.39,2.04,-31.51,29.33,0.52
ABHD12B,0.0,12.0,-14.2,2.21,-0.03
ABHD13,0.17,9.0,-10.39,1.48,-0.26
ABHD14A,-0.98,0.84,-7.89,7.86,0.17
ABHD14A-ACY1,-0.98,0.84,-7.89,7.86,0.17
ABHD14B,-0.98,0.84,-7.89,7.86,0.17
ABHD15,-0.2,7.3,-13.25,5.98,0.17
ABHD16A,0.0,7.92,-10.41,2.68,-0.2
ABHD16B,-0.39,2.51,-31.19,28.99,0.08
ABHD2,0.17,8.72,-11.31,2.24,0.17
ABHD3,-0.2,-1.97,-4.13,5.95,0.34
ABHD4,0.0,17.08,-18.69,2.44,-0.83
ABHD5,-0.59,1.43,-7.8,6.78,0.17
ABHD6,-0.39,1.28,-8.2,7.52,-0.2
ABHD8,0.0,2.39,-20.31,18.31,-0.39
ABI1,0.0,67.48,-58.49,-8.97,-0.03
ABI2,0.17,1.98,-4.79,2.63,0.0
ABI3,0.17,4.79,-12.02,7.06,0.0
ABI3BP,-0.78,1.25,-9.38,8.94,-0.03
ABL1,0.0,2.73,-10.81,8.13,-0.05
ABL2,0.0,-0.13,-8.87,9.0,0.0
ABLIM1,-1.57,62.78,-61.73,0.52,0.0
ABLIM2,0.17,-1.08,-2.36,3.47,-0.2
ABLIM3,0.0,-1.07,-4.43,5.7,-0.2
ABO,0.17,3.05,-10.59,7.41,-0.05
ABP1,0.0,0.57,-48.82,48.98,-0.73
ABR,0.0,11.53,-13.35,2.22,-0.39
ABRA,0.0,5.8,1.14,-5.32,-1.62
ABT1,0.0,6.97,-9.29,2.32,0.0
ABTB1,-0.59,2.11,-10.76,9.24,0.0
ABTB2,0.17,3.97,-2.25,-2.24,0.34
