Gene Symbol,Del_diff,Diploid_diff,Gain_diff
1/2-SBSRNA4,-9.93,6.65,3.27
A1BG,-37.85,9.92,27.92
A1BG-AS1,-37.85,9.92,27.92
A1CF,66.82,-65.39,-1.44
A2LD1,9.13,-10.35,1.21
A2M,6.77,-6.27,-0.51
A2ML1,6.25,-5.92,-0.34
A2MP1,6.25,-5.75,-0.51
A4GALT,21.27,-21.35,0.06
A4GNT,1.64,-11.91,10.27
AA06,7.77,-13.03,5.26
AAA1,0.42,-57.57,57.15
AAAS,-1.14,-4.94,6.07
AACS,-0.48,-3.31,3.8
AACSP1,-1.0,-4.61,5.6
AADAC,0.73,-11.35,10.61
AADACL2,0.73,-11.35,10.61
AADACL3,-26.63,14.71,11.91
AADACL4,-26.46,14.71,11.74
AADAT,-11.89,8.45,3.44
AAGAB,8.66,-11.48,2.83
AAK1,3.59,-6.04,2.44
AAMP,1.19,-3.66,2.46
AANAT,5.21,-10.56,5.36
AARS,11.82,-14.98,3.15
AARS2,8.34,-12.08,3.74
AARSD1,5.56,-11.61,6.05
AASDH,-4.36,-1.85,6.2
AASDHPPT,12.56,-2.41,-10.14
AASS,0.08,-47.49,47.42
AATF,8.68,-13.35,4.67
AATK,7.42,-11.65,4.23
AATK-AS1,7.59,-11.82,4.23
ABAT,8.4,-13.13,4.71
ABCA1,1.61,-10.22,8.61
ABCA10,4.55,-9.31,4.76
ABCA11P,1.11,-3.66,2.56
ABCA12,1.02,-3.49,2.46
ABCA13,1.63,-56.9,55.28
ABCA17P,9.38,-14.58,5.19
ABCA2,3.3,-10.96,7.66
ABCA3,9.9,-14.58,4.67
ABCA4,-29.14,19.08,10.04
ABCA5,4.38,-9.14,4.76
ABCA6,4.55,-9.31,4.76
ABCA7,1.51,-19.8,18.29
ABCA8,4.55,-9.51,4.96
ABCA9,4.55,-9.51,4.96
ABCB1,0.44,-54.56,54.12
ABCB10,2.3,-11.23,8.92
ABCB11,2.34,-5.15,2.8
ABCB4,0.44,-54.76,54.31
ABCB5,0.52,-56.49,55.98
ABCB6,1.36,-3.84,2.46
ABCB8,0.57,-49.36,48.79
ABCB9,-0.85,-3.24,4.09
ABCC1,8.63,-13.08,4.45
ABCC10,8.87,-12.27,3.4
ABCC11,12.33,-14.8,2.47
ABCC12,12.33,-14.8,2.47
ABCC13,1.41,-7.46,6.06
ABCC2,66.15,-66.3,0.14
ABCC3,4.13,-11.8,7.67
ABCC4,10.58,-11.67,1.09
ABCC5,-0.59,-13.9,14.49
ABCC6,8.63,-13.08,4.45
ABCC6P1,8.63,-13.08,4.45
ABCC6P2,8.63,-13.08,4.45
ABCC8,4.15,-1.54,-2.61
ABCC9,4.9,-7.04,2.15
ABCD2,1.39,-5.89,4.5
ABCD3,-30.0,19.57,10.42
ABCD4,6.78,-9.98,3.19
ABCE1,-11.85,7.65,4.2
ABCF1,8.44,-10.75,2.31
ABCF2,0.77,-49.19,48.43
ABCF3,-0.77,-13.38,14.15
ABCG1,2.57,-8.85,6.27
ABCG2,-7.62,4.32,3.3
ABCG4,11.15,1.67,-12.84
ABCG5,2.2,-4.59,2.39
ABCG8,2.2,-4.59,2.39
ABHD1,2.69,-5.45,2.76
ABHD10,0.4,-9.14,8.74
ABHD11,-0.34,-57.35,57.7
ABHD11-AS1,-0.34,-57.35,57.7
ABHD12,1.65,-31.51,29.85
ABHD12B,12.0,-14.2,2.18
ABHD13,9.17,-10.39,1.22
ABHD14A,-0.14,-7.89,8.03
ABHD14A-ACY1,-0.14,-7.89,8.03
ABHD14B,-0.14,-7.89,8.03
ABHD15,7.1,-13.25,6.15
ABHD16A,7.92,-10.41,2.48
ABHD16B,2.12,-31.19,29.07
ABHD2,8.89,-11.31,2.41
ABHD3,-2.17,-4.13,6.29
ABHD4,17.08,-18.69,1.61
ABHD5,0.84,-7.8,6.95
ABHD6,0.89,-8.2,7.32
ABHD8,2.39,-20.31,17.92
ABI1,67.48,-58.49,-9.0
ABI2,2.15,-4.79,2.63
ABI3,4.96,-12.02,7.06
ABI3BP,0.47,-9.38,8.91
ABL1,2.73,-10.81,8.08
ABL2,-0.13,-8.87,9.0
ABLIM1,61.21,-61.73,0.52
ABLIM2,-0.91,-2.36,3.27
ABLIM3,-1.07,-4.43,5.5
ABO,3.22,-10.59,7.36
ABP1,0.57,-48.82,48.25
ABR,11.53,-13.35,1.83
ABRA,5.8,1.14,-6.94
ABT1,6.97,-9.29,2.32
ABTB1,1.52,-10.76,9.24
ABTB2,4.14,-2.25,-1.9
ACAA1,0.79,-7.17,6.38
ACAA2,-1.63,-5.6,7.22
ACACA,8.48,-12.99,4.51
ACACB,-2.24,-2.83,5.05
ACAD10,-1.87,-3.36,5.23
ACAD11,1.96,-11.54,9.58
ACAD8,10.2,0.66,-10.87
ACAD9,2.21,-11.07,8.86
ACADL,2.32,-4.96,2.63
ACADM,-31.23,20.58,10.63
ACADS,-0.85,-2.61,3.45
ACADSB,60.38,-60.7,0.31
ACADVL,12.31,-14.9,2.59
ACAN,8.89,-11.53,2.63
ACAP1,12.48,-15.07,2.59
ACAP2,1.99,-12.31,10.32
ACAP3,-23.48,11.91,11.57
ACAT1,11.82,-2.02,-9.8
ACAT2,11.51,-13.93,2.41
ACBD3,1.95,-10.55,8.58
ACBD4,5.48,-11.91,6.42
ACBD5,67.48,-58.68,-8.79
ACBD6,0.21,-9.36,9.15
ACBD7,65.74,-57.09,-8.65
ACCN1,8.28,-13.52,5.23
ACCN2,-0.77,-6.53,7.29
ACCN3,0.57,-49.36,48.79
ACCN4,1.53,-4.01,2.46
ACCN5,-12.7,8.87,3.83
ACCS,6.72,-2.88,-3.84
ACCSL,6.72,-2.88,-3.84
ACD,11.62,-14.44,2.81
ACE,4.74,-10.42,5.67
ACER1,2.81,-18.28,15.46
ACER2,25.34,-27.29,1.95
ACER3,12.93,-5.62,-7.31
ACHE,0.44,-50.11,49.67
ACIN1,17.1,-18.88,1.78
ACLY,6.23,-11.74,5.51
ACMSD,3.32,-5.6,2.27
ACN9,0.25,-50.92,50.67
ACO1,18.06,-25.02,6.95
ACO2,20.83,-21.59,0.75
ACOT1,7.14,-10.49,3.34
ACOT11,-31.69,21.2,10.49
ACOT12,0.34,-5.95,5.6
ACOT13,6.58,-9.57,3.0
ACOT2,7.14,-10.49,3.34
ACOT4,7.14,-10.49,3.34
ACOT6,6.95,-10.29,3.34
ACOT7,-18.24,8.89,9.36
ACOT8,2.11,-31.33,29.22
ACOX1,5.63,-11.13,5.49
ACOX2,0.32,-7.64,7.32
ACOX3,-0.72,-2.58,3.3
ACOXL,3.74,-6.0,2.27
ACP1,2.47,-4.97,2.49
ACP2,7.54,-4.03,-3.51
ACP5,1.65,-19.38,17.72
ACP6,-14.05,4.22,9.83
ACPL2,1.27,-12.25,10.98
ACPP,1.96,-11.54,9.58
ACPT,-33.87,10.22,23.65
ACR,22.87,-22.28,-0.6
ACRBP,5.0,-3.35,-1.64
ACRV1,11.28,1.74,-13.03
ACSBG1,8.84,-11.46,2.61
ACSBG2,2.29,-18.28,15.97
ACSF2,4.48,-11.98,7.5
ACSF3,12.91,-16.43,3.52
ACSL1,-11.1,6.56,4.55
ACSL3,1.16,-3.62,2.44
ACSL5,61.26,-61.95,0.69
ACSL6,-0.22,-4.72,4.94
ACSM1,10.18,-14.48,4.3
ACSM2A,9.83,-14.31,4.48
ACSM2B,9.83,-14.31,4.48
ACSM3,10.35,-14.31,3.96
ACSM4,5.83,-4.26,-1.58
ACSM5,9.49,-13.97,4.48
ACSS1,1.29,-31.18,29.9
ACSS2,2.33,-31.89,29.55
ACSS3,-0.57,-4.84,5.4
ACTA1,2.3,-11.23,8.92
ACTA2,66.31,-66.26,-0.05
ACTB,-0.88,-56.39,57.26
ACTBL2,0.97,-7.15,6.16
ACTC1,14.61,-16.81,2.19
ACTG1,7.4,-10.5,3.11
ACTG2,2.96,-5.38,2.41
ACTL10,2.7,-32.41,29.7
ACTL6A,-0.45,-12.32,12.78
ACTL6B,0.61,-49.75,49.12
ACTL7A,0.87,-9.28,8.41
ACTL7B,0.87,-9.28,8.41
ACTL8,-28.25,16.88,11.38
ACTL9,2.49,-20.56,18.07
ACTN1,6.82,-10.54,3.7
ACTN2,-0.47,-9.22,9.68
ACTN3,13.12,-6.79,-6.33
ACTN4,-34.85,6.19,28.67
ACTR10,8.06,-11.07,2.99
ACTR1A,65.25,-65.54,0.28
