Gene Symbol,Del_diff,Diploid_diff,Gain_diff
AAA1,0.42,-57.57,57.15
AASS,0.08,-47.49,47.42
ABCA13,1.63,-56.9,55.28
ABCB1,0.44,-54.56,54.12
ABCB4,0.44,-54.76,54.31
ABCB5,0.52,-56.49,55.98
ABCB8,0.57,-49.36,48.79
ABCF2,0.77,-49.19,48.43
ABHD11,-0.34,-57.35,57.7
ABHD11-AS1,-0.34,-57.35,57.7
ABP1,0.57,-48.82,48.25
ACCN3,0.57,-49.36,48.79
ACHE,0.44,-50.11,49.67
ACN9,0.25,-50.92,50.67
ACTB,-0.88,-56.39,57.26
ACTL6B,0.61,-49.75,49.12
ACTR3B,0.91,-49.88,48.96
ACTR3C,0.74,-49.16,48.41
ADAM22,0.25,-54.35,54.09
ADAP1,-1.53,-56.08,57.61
ADCK2,0.25,-48.1,47.85
ADCY1,0.94,-55.97,55.04
ADCYAP1R1,0.22,-57.59,57.37
AEBP1,0.94,-55.97,55.04
AGAP3,0.77,-49.55,48.79
AGBL3,0.08,-48.5,48.41
AGFG2,0.61,-49.94,49.32
AGK,0.22,-48.28,48.05
AGMO,0.32,-56.12,55.81
AGR2,0.52,-56.71,56.2
AGR3,0.52,-56.71,56.19
AHCYL2,-0.09,-48.43,48.52
AHR,0.52,-56.37,55.85
AIMP2,-0.48,-56.61,57.09
AKAP9,0.44,-53.35,52.91
AKR1B1,-0.09,-48.5,48.58
AKR1B10,-0.09,-48.5,48.58
AKR1B15,-0.09,-48.5,48.58
AKR1D1,0.08,-47.96,47.88
ALKBH4,0.44,-49.23,48.8
AMPH,0.77,-56.71,55.94
AMZ1,-2.22,-55.63,57.85
ANKIB1,0.44,-53.49,53.05
ANKMY2,0.52,-56.51,56.0
ANKRD7,-0.12,-47.71,47.84
ANLN,0.77,-57.23,56.47
AOAH,0.77,-57.06,56.29
AP1S1,0.44,-49.94,49.5
AP4M1,0.44,-50.5,50.05
AQP1,0.22,-57.59,57.37
ARF5,-0.09,-47.91,48.0
ARHGEF35,0.39,-48.87,48.47
ARHGEF5,0.39,-48.87,48.47
ARL4A,0.3,-55.91,55.61
ARMC10,0.44,-49.4,48.96
ARPC1A,0.44,-50.5,50.06
ARPC1B,0.44,-50.5,50.05
ASB10,0.77,-49.19,48.43
ASB15,0.08,-47.64,47.56
ASB4,0.25,-51.65,51.4
ASL,-0.32,-57.77,58.08
ASNS,0.25,-50.53,50.29
ASZ1,-0.09,-47.91,48.0
ATG9B,0.57,-49.19,48.61
ATP5J2,0.44,-50.5,50.06
ATP5J2-PTCD1,0.44,-50.5,50.05
ATP6V0A4,0.08,-47.59,47.52
ATP6V0E2,0.74,-48.96,48.23
ATP6V1F,-0.09,-48.43,48.52
ATXN7L1,0.61,-48.81,48.19
AUTS2,-0.51,-57.55,58.06
AVL9,0.42,-57.4,56.98
AZGP1,0.44,-50.5,50.05
AZGP1P1,0.44,-50.5,50.05
BAIAP2L1,0.25,-50.9,50.65
BAZ1B,-0.15,-57.55,57.7
BBS9,0.42,-57.4,56.97
BCAP29,0.64,-48.81,48.18
BCL7B,-0.34,-57.35,57.7
BET1,0.05,-52.39,52.34
BHLHA15,0.25,-50.9,50.65
BLVRA,0.77,-56.17,55.41
BMPER,0.42,-57.4,56.98
BPGM,-0.09,-48.33,48.41
BRAF,0.05,-47.91,47.85
BRAT1,-2.02,-55.63,57.67
BRI3,0.25,-50.9,50.65
BUD31,0.44,-50.5,50.05
BZW2,0.52,-56.71,56.2
C1GALT1,-0.48,-56.05,56.53
C7orf10,0.94,-56.71,55.78
C7orf11,0.77,-56.03,55.26
C7orf13,1.21,-50.27,49.05
