0,1
ADCK4,모름
ALDH16A1,모름
ALKBH6,모름
APLP1,모름
ASPDH,모름
ATP5SL,모름
B3GNT8,모름
B9D2,모름
BLOC1S3,모름
C19orf12,모름
C19orf18,모름
C19orf40,모름
C19orf47,모름
C19orf48,모름
C19orf51,모름
C19orf54,모름
C19orf55,모름
C19orf63,모름
C19orf69,모름
CATSPERG,모름
CCDC114,모름
CCDC61,모름
CCDC8,모름
CCDC9,모름
CCDC97,모름
CEACAM22P,모름
CHST8,모름
CNFN,모름
CNTD2,모름
EID2B,모름
EXOC3L2,모름
FAM71E1,모름
FAM71E2,모름
FAM98C,모름
FLJ26850,모름
FUZ,모름
GGN,모름
HKR1,모름
LENG9,모름
LOC100131691,모름
LOC147804,모름
MGC2752,모름
NAT14,모름
PRR19,모름
PRR24,모름
PRRG2,모름
RINL,모름
SELV,모름
SIX5,모름
U2AF1L4,모름
YIF1B,모름
ZBTB45,모름
ZFP28,모름
ZFP30,모름
ZNF132,모름
ZNF155,모름
ZNF180,모름
ZNF181,모름
ZNF211,모름
ZNF226,모름
ZNF230,모름
ZNF234,모름
ZNF235,모름
ZNF256,모름
ZNF320,모름
ZNF345,모름
ZNF383,모름
ZNF415,모름
ZNF416,모름
ZNF432,모름
ZNF446,모름
ZNF45,모름
ZNF461,모름
ZNF468,모름
ZNF470,모름
ZNF473,모름
ZNF497,모름
ZNF524,모름
ZNF525,모름
ZNF526,모름
ZNF527,모름
ZNF528,모름
ZNF530,모름
ZNF541,모름
ZNF542,모름
ZNF544,모름
ZNF547,모름
ZNF548,모름
ZNF552,모름
ZNF565,모름
ZNF567,모름
ZNF568,모름
ZNF571,모름
ZNF574,모름
ZNF575,모름
ZNF576,모름
ZNF579,모름
ZNF580,모름
ZNF581,모름
ZNF582,모름
ZNF583,모름
ZNF584,모름
ZNF586,모름
ZNF587,모름
ZNF599,모름
ZNF600,모름
ZNF607,모름
ZNF613,모름
ZNF628,모름
ZNF701,모름
ZNF71,모름
ZNF761,모름
ZNF765,모름
ZNF766,모름
ZNF776,모름
ZNF784,모름
ZNF787,모름
ZNF790,모름
ZNF805,모름
ZNF808,모름
ZNF814,모름
ZNF83,모름
ZNF836,모름
ZNF837,모름
ZNF841,모름
ZNF880,모름
ZSCAN1,모름
ZSCAN22,모름
ZSCAN5A,모름
