,log_rank,p_value,long_survival
A1CF,0.015525775489964483,0.9008382729897922,high
ABCC2,8.550459630642793,0.0034543499565536056,high
ABI1,1.117041858977602,0.2905563109837621,low
ABLIM1,1.3713866677607462,0.2415737778390845,high
ACADSB,0.35904757008062294,0.5490356670352874,low
ACBD5,1.8077760337723037,0.17877524597698452,low
ACBD7,0.00036793064134648887,0.9846963012126654,high
ACSL5,0.13195550837617084,0.7164130551514452,high
ACTA2,1.4861250444898644,0.2228186557203281,low
ACTR1A,0.01879775360366586,0.890947879408657,high
ADAM12,0.7244089616363725,0.39470148686768336,low
ADAM8,2.1967625695554927,0.1383009304085619,low
ADAMTS14,3.9153726965702793,0.0478464053240552,low
ADARB2,0.1823941100678775,0.6693238022210266,low
ADD3,0.7874816010675133,0.3748627219676459,low
ADK,0.8097730121256251,0.36818736823252074,high
ADO,1.5547833745701787,0.21243067219374592,high
ADRA2A,0.06855046882769877,0.7934591052640222,low
ADRB1,0.022138190691254986,0.8817200666541335,high
AFAP1L2,0.0006889602042072257,0.9790594895650769,high
AGAP11,3.389620807501117,0.06560803584673831,low
AGAP4,0.08158366147700544,0.7751626438048611,low
AGAP5,0.05550403147552342,0.813748555472498,low
AGAP6,0.028600567499568966,0.8657045952988647,low
AGAP7,0.0695030062327473,0.792061781088664,low
AGAP8,0.007878196889280504,0.9292732775029227,low
AIFM2,1.3313347414753758,0.2485679046616347,low
AKR1C1,0.15369432639620584,0.6950296344506222,same
AKR1C2,0.0014739956790147714,0.9693746200234227,low
AKR1C3,0.00870481902092749,0.9256655342667579,high
AKR1C4,0.049878246726622576,0.8232752690399507,low
AKR1CL1,0.001390737161549703,0.9702517148558379,high
AKR1E2,0.7141089910123871,0.3980830920630921,high
ALDH18A1,1.9536208077738562,0.1621972079373707,high
ALOX5,1.5537416337301926,0.21258392335500403,low
ANAPC16,0.18464646523222805,0.6674101796179954,low
ANK3,0.6054556525640623,0.43650398593404227,low
ANKRD1,2.6354125747521238,0.1045049107216362,low
ANKRD16,1.6860989695158655,0.1941160101180333,low
