,log_rank,p_value,long_survival
A1CF,0.0004112512403777061,0.983820544369754,low
ABCC2,15.404250974657922,8.679282426153806e-05,high
ABI1,110.20765236227552,8.824527928700116e-26,high
ABLIM1,128.41074419211384,9.126031094528684e-30,high
ACADSB,88.67739114324657,4.647466534915949e-21,high
ACBD5,122.27378017411087,2.0108395389114206e-28,high
ACBD7,40.559058465706336,1.9076211337696212e-10,high
ACSL5,6.44044313047075,0.011155081626655931,low
ACTA2,42.54618729207034,6.90327020832349e-11,low
ACTR1A,113.35827791334808,1.8010510257410278e-26,high
ADAM12,103.66015616291965,2.4017298951077612e-24,low
ADAM8,11.179728188076407,0.0008269588634621912,low
ADAMTS14,54.56607264481619,1.503082881035767e-13,low
ADARB2,71.73200893871172,2.46501243369271e-17,high
ADD3,78.22115539034854,9.212657195964953e-19,high
ADK,0.019572655214752096,0.8887371793119102,high
ADO,107.52288050686214,3.4193499763972342e-25,high
ADRA2A,16.6351672917363,4.530319108323184e-05,high
ADRB1,4.097106426542104,0.042956671650867015,low
AFAP1L2,20.790915545439344,5.122537277483003e-06,high
AGAP11,0.34452487805379445,0.5572289486778546,low
AGAP4,73.69935168460586,9.096875129783932e-18,high
AGAP5,5.917971611356043,0.014987202881111479,high
AGAP6,2.6045324123872207,0.10655858218842741,low
AGAP7,0.17504730810831706,0.6756645162318222,low
AGAP8,3.800634278064326,0.0512331716987041,low
AIFM2,0.9051420068043182,0.3414066815507687,low
AKR1C1,69.31841999057264,8.378344637437943e-17,high
AKR1C2,31.389618958092246,2.1110661452766904e-08,high
AKR1C3,93.0079968053345,5.208347020904384e-22,high
AKR1C4,19.87396992105193,8.271899135707989e-06,high
AKR1CL1,0.006415689658168205,0.9361593131384747,low
AKR1E2,0.056131312538993165,0.8127184836449168,low
ALDH18A1,31.61157547899409,1.883037990309792e-08,high
ALOX5,50.54344014589185,1.1655612456101677e-12,low
ANAPC16,15.302399555748437,9.160008128097395e-05,low
ANK3,36.68239878352168,1.3902906643526269e-09,high
ANKRD1,2.9187960970347437,0.08755316431716953,low
ANKRD16,124.34559432109884,7.077780209751263e-29,high
ANKRD2,28.469828672550307,9.517005795862016e-08,high
ANKRD22,17.12901447296372,3.4924680703800516e-05,low
ANKRD26,94.91814224402776,1.9842297510715976e-22,high
ANKRD30A,0.0021187380964091834,0.9632865361322704,low
ANTXRL,13.6564393530436,0.0002194873123746119,low
ANXA11,2.8155247683111253,0.09335636204342299,low
ANXA2P3,27.375279830464958,1.6755955672033607e-07,low
ANXA7,43.80340980252503,3.630719281267244e-11,high
ANXA8,13.708094977965938,0.0002135321155947344,high
ANXA8L1,0.005339713539698009,0.9417477536888996,low
ANXA8L2,17.358790553092643,3.094635644844226e-05,high
AP3M1,50.33350424197039,1.2971589315433352e-12,high
APBB1IP,20.597574080149688,5.6667876509157176e-06,low
ARHGAP12,123.10393054072823,1.323324320965124e-28,high
ARHGAP19,34.83160257672362,3.594905274585087e-09,high
ARHGAP21,55.466902507538826,9.504591743746349e-14,high
ARHGAP22,26.86799444116453,2.1783661434921575e-07,high
ARID5B,5.5801156546715145,0.018165522995984784,high
ARL3,107.99807044458079,2.690399765927935e-25,high
ARL5B,36.406772689657615,1.6014576937057435e-09,high
ARMC3,7.715380082149141,0.0054752331096788,high
ARMC4,9.409264050630494,0.0021589186243486497,high
ARMS2,5.690326510852502e-07,0.999398121799621,high
AS3MT,9.420329508064079,0.0021459295707696863,low
ASAH2,4.73427925885482,0.029567234228271896,high
ASAH2B,67.60058885994056,2.002077633206431e-16,high
ASB13,135.43177233680098,2.6564062024961813e-31,high
ASCC1,87.83594072904265,7.111492760805674e-21,high
ATAD1,130.64348856591857,2.9631944324717854e-30,high
ATE1,83.94674578692889,5.0828366634441587e-20,high
ATOH7,26.289777686515773,2.9383985346253376e-07,high
ATP5C1,15.301393176614623,9.164889416738887e-05,high
ATRNL1,84.07896130885582,4.7540294895223157e-20,high
AVPI1,51.505525357016026,7.139587854225281e-13,high
BAG3,10.536983235652238,0.0011700925481165252,high
BAMBI,3.4252528664806863,0.06420640977071145,high
BCCIP,88.28903954450024,5.6555961505181975e-21,high
BEND7,92.81629184048336,5.738085199982614e-22,high
BICC1,7.121095840545039,0.0076182126985025415,high
BLNK,14.719452254192591,0.00012475254261228502,low
BLOC1S2,38.311967793233244,6.029174917683826e-10,high
BMI1,7.569619992557827,0.005936029819230532,high
BMPR1A,72.40868289427881,1.7494253525613193e-17,high
BMS1,100.5551396811054,1.1514637355711718e-23,high
BMS1P4,2.79681112732182,0.09445199028638063,high
BMS1P5,71.12095275849072,3.3598298279123463e-17,high
BNIP3,13.217683519558339,0.0002773201546428783,low
BTAF1,78.44331159500778,8.232718442189622e-19,high
BTBD16,1.0520845164500328,0.3050274920368909,low
BTRC,103.62581172962234,2.443726472603203e-24,high
BUB3,21.10680675539255,4.343824144424655e-06,high
C10orf10,79.18283599552277,5.661985012424501e-19,low
C10orf105,7.781414241381207,0.005278645781573668,low
C10orf107,3.459659327812221,0.06288326962143033,low
C10orf108,6.330136580576532,0.011870317548417733,low
C10orf11,51.233585088055214,8.200358271684294e-13,low
C10orf111,8.29166119306342,0.0039827538506236205,same
C10orf113,0.17268262768416523,0.6777385938660141,low
C10orf114,63.035290271680445,2.0303602434759863e-15,low
C10orf116,30.926143688615088,2.6803663984395524e-08,high
C10orf118,66.06057593140979,4.372752372072564e-16,high
C10orf12,47.697961353457934,4.972083969575397e-12,high
C10orf120,34.17346420682891,5.0411704316852865e-09,high
C10orf122,0.0018556660311724736,0.9656398010772501,low
C10orf125,21.167906951652686,4.2075143039302606e-06,low
C10orf128,0.20985577325176588,0.6468804709241649,high
C10orf129,0.012903013579667421,0.9095616791174228,high
C10orf131,27.561996105809428,1.5213884050392977e-07,high
C10orf137,66.78691838233632,3.024988595701526e-16,high
C10orf140,59.38044895671391,1.2995378060550127e-14,low
C10orf2,103.80106990024628,2.2368433995287468e-24,high
C10orf25,42.038214065799274,8.950703987488872e-11,high
C10orf26,77.79690518054989,1.141989538533865e-18,high
C10orf27,0.48420935385687264,0.48652181354866,low
C10orf28,76.84168317131127,1.8522661251552873e-18,high
C10orf32,77.95747776163638,1.0528277561490743e-18,high
C10orf35,2.7488400458226225,0.09732501164719062,low
C10orf40,2.1377073952759974e-05,0.9963109661183235,low
C10orf46,57.67834230928697,3.0868294220613304e-14,high
C10orf47,11.16270674786266,0.0008345806826544816,low
C10orf53,16.319764618992266,5.350299503046217e-05,high
C10orf54,2.0281815308649254,0.15440525925354642,high
C10orf55,65.3847769072092,6.161299820076393e-16,low
C10orf58,44.92301389433636,2.0493509760900687e-11,high
C10orf62,6.603563566112437,0.01017748731816422,high
C10orf67,12.767071697870803,0.0003527746639705147,low
C10orf68,47.20548972844898,6.3921164359480436e-12,high
C10orf71,0.00017306545231924464,0.9895037848164624,high
C10orf76,73.41337234663818,1.0515128151317931e-17,high
C10orf81,54.31817351602813,1.705174912431604e-13,low
C10orf82,7.913701301077961,0.004906178741871984,low
C10orf88,71.570465215262,2.6753134062034054e-17,high
C10orf90,3.459326198692243,0.06289594022031003,low
C10orf91,0.7879988250444628,0.37470592357611954,low
C10orf95,1.3871644305824489,0.23888454364047745,low
C10orf96,0.03461599941152514,0.8524026075033614,same
C10orf99,0.114866480514006,0.7346703151167608,low
C1QL3,8.886958398004003,0.0028721480079729063,high
CACNB2,16.973172529408906,3.79117429963825e-05,low
CALHM1,18.452714800015887,1.7417253508958098e-05,high
CALHM2,61.490433064647334,4.4489963990037264e-15,low
CALHM3,3.7681651076204234,0.052236906763973585,low
CALML3,27.48955489019608,1.57945219341405e-07,high
CALML5,0.5884435223122073,0.44302163090974245,low
CALY,29.652449942722708,5.1687262086272624e-08,high
