,log_rank,p_value,long_survival
AAA1,9.397986039748689e-06,0.997553998162135,low
AASS,3.434930074728843e-05,0.9953237628751748,low
ABCA13,0.825057081871862,0.3637057307047602,low
ABCB1,3.3099915349215796,0.06885984679053979,high
ABCB4,0.5546125267297789,0.4564391189201318,high
ABCB5,1.6191468849822497,0.2032107833232066,high
ABCB8,2.846761887522505,0.09155817719052002,high
ABCF2,3.203100031980707,0.07349882978285083,low
ABHD11,6.90731791908131,0.008584366435203756,low
ABP1,7.463519746826774,0.006296178126074637,low
ACCN3,1.5250681675839608,0.21685413658881864,low
ACHE,3.0005832569365443,0.08323454690824399,low
ACN9,0.03426665021083142,0.8531407708656465,high
ACTB,2.7532487591506705,0.09705703829382191,low
ACTL6B,1.9452761450800413,0.16309680183426567,low
ACTR3B,0.7056268404775544,0.40089942885456975,low
ACTR3C,12.678349218390563,0.00036991401244228754,low
ADAM22,1.6512615241145503,0.19878731786326953,high
ADAP1,0.9012056225623221,0.3424586450297562,low
ADCK2,4.165833416249269,0.0412471159193193,low
ADCY1,3.6390577733112037,0.056438866502054,low
ADCYAP1R1,3.0249658770343486,0.08199204576038072,high
AEBP1,6.401989015850811,0.011399258285173425,low
AGAP3,0.030571515497777126,0.8611997619008602,high
AGBL3,2.2702152348074134,0.1318815854037688,high
AGFG2,0.3271044878071971,0.5673690654116048,low
AGK,3.365531212867798,0.06657411019488481,high
AGR2,0.040492314026455686,0.8405210638181477,low
AGR3,0.6934476278183032,0.4049941844495911,low
AHCYL2,0.23959879608529439,0.6244960356172954,high
AHR,4.563848983131318,0.03265360971986755,low
AIMP2,0.011655915695565613,0.9140253864573877,high
AKAP9,0.013884290127726866,0.9062010767587945,low
AKR1B1,0.3919034553174853,0.5313005580843442,high
AKR1B10,0.049421724274052,0.8240725887011748,low
AKR1B15,4.2509155273597505,0.039229176668825666,high
AKR1D1,0.002143841203645066,0.9630698378887929,low
ALKBH4,1.9161503927905588,0.16628166053363722,high
AMPH,1.9521447150700233,0.16235592460538967,high
AMZ1,0.05203051619926495,0.8195669558765839,low
ANKIB1,0.05355814568543689,0.8169836128089341,high
ANKMY2,2.422753453409235,0.11958457126936234,low
ANKRD7,0.022834064526788312,0.8798893816113555,low
ANLN,1.3509646967264326,0.2451095380230699,low
AOAH,0.6409015418240238,0.423384524274524,high
AP1S1,3.7868207004181396,0.051657681003856835,low
AP4M1,1.3454274615794644,0.24607908759145072,high
AQP1,0.04976707624097332,0.8234690750869027,high
ARF5,2.2265284876370255,0.13565834547871278,low
ARHGEF35,0.6380124090125239,0.4244314503644061,low
ARHGEF5,0.3155908042186837,0.5742695373977764,low
ARL4A,1.6148757332600554,0.203807776367437,low
ARMC10,4.308680445894414,0.03791836320611857,low
ARPC1A,4.820290366996644,0.028126606721395407,low
ARPC1B,2.5826407693585245,0.1080412801210209,low
ASB10,0.13336235683548034,0.7149709919822629,low
ASB15,0.015820323653600664,0.8999069697447752,low
ASB4,0.011440047448228245,0.9148221747735973,low
ASL,0.6557623289025991,0.4180599990181697,low
ASNS,0.24268007517929593,0.6222770890976994,low
ASZ1,0.0017017536621394744,0.9670947461643371,high
ATG9B,3.6748508993674847,0.055239194155034976,low
