,log_rank,p_value,long_survival
AAA1,0.5347957030690803,0.46459759514739496,high
AASS,0.03457826468837258,0.8524821535369115,high
ABCA13,48.92885779599229,2.6541682784216762e-12,low
ABCB1,35.98025085273243,1.9932760354776776e-09,high
ABCB4,37.24570595675212,1.041440567235156e-09,low
ABCB5,73.31657663744889,1.1043650744981646e-17,low
ABCB8,61.83991220071765,3.725460673565097e-15,low
ABCF2,49.07055104502798,2.4691960558272816e-12,low
ABHD11,50.59528346527193,1.1351751856038327e-12,low
ABP1,34.864177758228514,3.535258007440538e-09,low
ACCN3,24.322079400598106,8.149950614229665e-07,high
ACHE,0.6114556811237356,0.4342402463662597,low
ACN9,76.12588510131772,2.661455744368623e-18,low
ACTB,78.48507518777065,8.060493063672883e-19,low
ACTL6B,62.26942186650175,2.995401911265604e-15,high
ACTR3B,2.3465584391865337,0.1255599363747369,low
ACTR3C,7.303600294183513,0.006881658256926751,low
ADAM22,70.66841407682006,4.226046951212154e-17,high
ADAP1,43.37440386446365,4.5206297207529625e-11,high
ADCK2,43.51892038018313,4.198800474465949e-11,low
ADCY1,5.01669637652153,0.02510402099979765,high
ADCYAP1R1,60.06756374445158,9.165643829137799e-15,high
AEBP1,87.27063873924673,9.464251065352576e-21,low
AGAP3,27.626377706238486,1.4715824049791386e-07,high
AGBL3,43.679691638735726,3.8676448357092365e-11,low
AGFG2,0.7993115216240273,0.37129929297490794,low
AGK,60.85088891904534,6.156569882509804e-15,low
AGR2,7.436304114881708,0.00639210262291943,low
AGR3,45.95267380291578,1.2114446964367323e-11,low
AHCYL2,12.084721059829716,0.0005083670655584701,high
AHR,55.19426652700435,1.091867679300557e-13,low
AIMP2,21.54246438090455,3.460798698315194e-06,low
AKAP9,64.77688789868787,8.387721996247842e-16,high
AKR1B1,37.73621707073775,8.098691160135215e-10,low
AKR1B10,4.378717558608761,0.03639036754657456,low
AKR1B15,3.257615375530142,0.0710924405109881,high
AKR1D1,7.768515550105038,0.005316472207087848,low
ALKBH4,10.256490088720726,0.0013620457288374488,low
AMPH,12.987718765165182,0.00031354073720016984,high
AMZ1,103.00065825907097,3.350368917036673e-24,high
ANKIB1,6.670972674931298,0.009799569245466018,high
ANKMY2,35.79278533550384,2.194590791994855e-09,low
ANKRD7,4.126678429036712,0.04221212757168551,same
ANLN,0.2841176011681692,0.5940150081027924,low
AOAH,2.630248021803776,0.10484533442811061,low
AP1S1,45.21834171290985,1.7624667780570076e-11,low
AP4M1,84.83600048142804,3.2416793852050755e-20,low
AQP1,60.24354117288733,8.38174179848752e-15,low
ARF5,40.630741641970864,1.83890709778112e-10,low
ARHGEF35,1.3409397491649908,0.24686830954478473,low
ARHGEF5,0.19344849609898457,0.660061829284857,low
ARL4A,29.14819903313471,6.704803928785621e-08,low
ARMC10,73.54235947366804,9.849947405082024e-18,low
ARPC1A,86.12751584653722,1.6869912040990465e-20,low
ARPC1B,59.21849923831316,1.4110109884074642e-14,low
ASB10,0.18919978184704603,0.6635834682068806,low
ASB15,0.014772222400374938,0.9032625169385282,low
ASB4,19.698303734463444,9.068182211968302e-06,high
ASL,105.42323216202027,9.864652096793178e-25,low
ASNS,24.56055903191969,7.201065576265417e-07,low
ASZ1,0.0017847329546181905,0.9663025129565053,high
ATG9B,39.533779787506546,3.224334506110379e-10,low
ATP5J2,91.8253533761757,9.467370860074925e-22,low
ATP6V0A4,0.11000058595920473,0.7401434686994673,low
ATP6V0E2,13.283646454931334,0.0002677312532889064,high
ATP6V1F,58.59318042562099,1.9388734704631387e-14,low
ATXN7L1,0.6262107037851504,0.4287486689493962,high
AUTS2,0.10562057783830518,0.7451862207797428,high
AVL9,5.522659050235249,0.01877170435671939,high
AZGP1,4.92190396507039,0.026518277385488585,low
BAIAP2L1,0.0023457989811351524,0.9613708021361522,low
BAZ1B,2.216671074386789,0.13652715977219432,high
BBS9,46.650876386595456,8.482903497268193e-12,low
BCAP29,61.07996751050057,5.480294500912393e-15,low
BCL7B,117.7370000915735,1.979727407368878e-27,low
BET1,110.95068691625488,6.066102264868288e-26,low
BHLHA15,0.7250621174618473,0.39448844606656663,low
BLVRA,15.811184455323987,6.998757389636636e-05,low
BMPER,0.2532505818776009,0.6147954861795852,low
BPGM,31.57185166352134,1.921954026904217e-08,low
BRAF,0.41928465827858663,0.5172942018313775,high
BRI3,65.98507125473579,4.543513681838592e-16,low
BUD31,73.87920275277953,8.304667779264895e-18,low
BZW2,19.34218964544143,1.0926524397033977e-05,low
C1GALT1,40.62143472783401,1.847686616749442e-10,low
C7orf10,0.09193359065184237,0.7617332384196169,low
C7orf11,60.6427389222706,6.84320226354609e-15,low
C7orf13,38.7322076273361,4.861212117480759e-10,high
C7orf23,40.95798944227211,1.555368777140869e-10,low
C7orf25,81.83336385383744,1.480579553669021e-19,low
C7orf26,20.387340452275836,6.324681074210138e-06,low
C7orf29,78.83280201118669,6.759533624640607e-19,low
C7orf30,91.39831663472862,1.1747635569894314e-21,low
C7orf31,84.30200721130174,4.2468380452865865e-20,low
C7orf33,1.47159056379112,0.2250949061654862,low
C7orf34,1.969200067192796,0.1605327959198879,low
C7orf41,84.41269347212972,4.0156138925242827e-20,high
C7orf42,92.30528311234063,7.4285722105129e-22,low
C7orf43,17.90844965801486,2.3178972891228524e-05,low
C7orf44,47.32787720316698,6.005206138028912e-12,low
C7orf45,2.3892033358642015,0.12217587693330105,low
C7orf46,76.86716854980688,1.828517241596081e-18,low
C7orf49,77.49089595728836,1.3333564228991684e-18,low
C7orf50,40.280399965254404,2.2000513399589488e-10,low
C7orf53,15.226077340506487,9.537724962915896e-05,low
C7orf55,14.954893145508981,0.00011011213315212177,low
C7orf57,51.50095498053101,7.15622804732992e-13,low
C7orf58,22.024616519863436,2.691759447062267e-06,low
C7orf59,39.31834581297259,3.600425377778325e-10,low
C7orf60,2.165961712343584,0.1410963251626225,high
C7orf61,2.78325765608854,0.09525423950450289,high
C7orf63,6.081786460533554,0.01365825826302702,low
