,log_rank,p_value,long_survival
A1BG,0.029379615103121048,0.8639054586698063,high
ACPT,0.01192874362406455,0.9130289588857464,high
ACTN4,1.5608435750823277,0.21154174740249462,same
ADCK4,0.07228542546443655,0.7880378116019597,low
AKT1S1,0.04970134718518464,0.8235837689597392,high
AKT2,0.004122281928146094,0.9488069967879982,high
ALDH16A1,0.03216348474860291,0.8576693195081955,high
ALKBH6,1.028421958798007,0.3105295925286424,low
ANKRD27,0.5933141115279661,0.44114042624847905,high
AP2A1,0.24180676572524074,0.6229042080853824,high
AP2S1,0.12652025491665495,0.7220675981742286,high
APLP1,2.842538462285578,0.09179908599582853,low
APOC1,0.73463526769354,0.3913848315195404,low
APOC1P1,0.08980097961750472,0.7644303214127856,low
APOC2,0.7796427439102265,0.37725042366183226,low
APOC4,0.01823811806994472,0.8925734674379827,high
APOE,1.48316299118701,0.22328029798606736,high
ARHGAP33,0.06273479098317376,0.8022245655865804,low
ARHGEF1,0.15617785976162557,0.6927001291942213,low
ASPDH,0.6543435530811155,0.4185640132570646,low
ATF5,0.40313362020415144,0.5254753462195703,high
ATP1A3,0.611608317563886,0.43418289203559324,low
ATP4A,0.7866611409341303,0.3751116364355005,low
ATP5SL,1.3040752360860097,0.2534701744906397,high
AURKC,0.0032537560102928664,0.9545119741106376,high
AXL,0.8115134017505411,0.3676731909887947,low
B3GNT8,4.221120806813463,0.039923780862646016,low
B9D2,0.3092801480462345,0.5781222515051607,low
BAX,0.2570464154242121,0.6121566070140533,low
BBC3,1.019037091762257,0.31274752260819727,low
BCAM,3.8064040655898714,0.05105695232705169,low
BCAT2,0.4967882527781733,0.4809147456377475,low
BCKDHA,0.04399004684885745,0.8338721315280482,high
BCL2L12,0.4640087906879297,0.49575639486064194,low
BCL3,7.387912246631395,0.006566366258439865,low
BIRC8,0.0025431883392765834,0.9597797030783921,high
BLOC1S3,0.758057192593308,0.38393720391064334,high
BLVRB,0.024566247816873273,0.8754527274581905,low
BRSK1,0.3707970400506142,0.5425701332846515,high
BSPH1,0.0068593731977972605,0.9339936061304894,low
C19orf12,0.08384767487332276,0.7721493294535607,low
C19orf18,0.22374936599602777,0.6361978202701528,low
C19orf33,5.48909113863418,0.01913548792549515,low
C19orf40,0.9372411003299852,0.3329883714714067,high
C19orf46,0.8619141907728948,0.35320357279801473,low
C19orf47,0.04243138157251959,0.8367996678834466,high
C19orf48,0.11015176343497961,0.7399714214313551,high
C19orf51,0.05049436284426682,0.8222052676938015,low
C19orf54,0.7986340465478643,0.3715020811732064,high
C19orf55,0.1572597490708072,0.691692032933459,high
C19orf63,0.004890989757731478,0.9442449086202348,high
C19orf69,1.0172749937878243,0.31316626145526505,low
C19orf73,1.7530596320444003,0.18549255589350844,low
C19orf75,0.04783469802539702,0.826874829705202,low
C19orf76,0.35496802472440997,0.5513142350254252,high
C5AR1,2.3642591021600623,0.12414284019762553,low
CA11,1.4526632054625126,0.2281010989743163,low
CABP5,0.017297576634401624,0.8953637671017544,low
CACNG6,0.11727679812425677,0.7320069974123563,low
CACNG7,1.5039442378681267,0.22006547247771505,high
CACNG8,0.7936983127497914,0.3729841744977691,low
CADM4,0.0669080526999326,0.7958930248794045,high
CALM3,0.13385947511042656,0.7144634922844488,high
CAPN12,4.354828683151369,0.03690417085114141,low
CAPNS1,0.0011809924076118833,0.9725856383336627,high
CARD8,1.399485463503973,0.23680973980045256,high
CATSPERG,0.19398768908360764,0.6596182165781632,low
CBLC,0.024387971120491715,0.8759017934569013,low
CCDC106,0.2054117861848747,0.6503876174612204,low
CCDC114,5.042295920162421,0.024735685708107264,low
CCDC155,0.11505149393304222,0.7344647834040077,high
CCDC61,0.13873046280128024,0.7095463799749742,high
CCDC8,7.166166236902608,0.0074291375424493595,low
CCDC9,0.265700749450208,0.6062304366259497,high
CCDC97,0.7146903622693174,0.3978911089217253,high
CCNE1,1.0306532836953404,0.31000527950834433,high
CD177,0.2799613419923529,0.5967265556714207,high
CD22,0.3717157267302991,0.5420705322505865,low
CD33,0.1008419201255633,0.7508216267881123,low
CD37,0.7613728701099529,0.38289922768386353,low
CD3EAP,0.4127871591203281,0.5205582327132507,high
CD79A,0.13637606267912195,0.7119106111718498,high
CDC42EP5,0.36717149773077395,0.5445500954673543,low
CEACAM1,0.03619054638579741,0.849122532665194,low
CEACAM16,0.11865022558204597,0.730503064420363,high
CEACAM18,0.007042118487896683,0.9331221598020826,same
CEACAM19,0.255106614715684,0.6135020860148828,low
CEACAM20,0.0011431250028713514,0.9730285566694615,low
CEACAM21,0.16765986751720421,0.6821999868393849,low
CEACAM22P,0.09246651075453685,0.7610646080714013,high
CEACAM3,1.3302255101574485,0.24876510326113127,low
CEACAM4,2.246247486488865,0.1339388530873986,low
CEACAM5,0.07331897218365083,0.7865642713399865,same
CEACAM6,2.2660088054223873,0.13224007565365098,high
CEACAM7,0.005098990264795042,0.9430736680281575,high
CEACAM8,1.1982526425642603,0.27367119862386674,same
CEBPA,0.08962513970838014,0.7646542547715973,low
CEBPG,5.124109102374876,0.0235956801888389,high
CGB,0.020425132737849194,0.8863561085336773,high
CGB1,2.1685178896185273e-05,0.9962844766366452,high
CGB2,0.00012535028135706106,0.9910670758794086,high
CGB5,0.004565374805828256,0.9461298818435883,low
CGB7,6.121966509636925,0.01335121931791133,low
CGB8,0.002149480262110598,0.9630213348543857,high
CHMP2A,0.07500406287348584,0.7841855288042578,high
CHST8,2.687764268877604,0.10112160891478848,low
CIC,0.014425979865744438,0.9043974362349132,low
CKM,3.7035690137120207,0.054296210613384494,high
CLC,1.8654635398101642,0.1719955515308092,low
CLDND2,2.014649192929115,0.15578727377769067,low
CLEC11A,0.28378745629975577,0.594229461169392,high
CLIP3,0.6162628417994471,0.43243943704336374,high
CLPTM1,0.023164861955111124,0.8790291370784116,high
CNFN,1.7881871730140688,0.18114719393729417,low
CNOT3,0.19493399308347134,0.6588414359368563,high
CNTD2,1.3454756489298796,0.24607062997497375,low
