,log_rank,p_value,long_survival
A1BG,42.65060466824425,6.544419520744208e-11,low
ACPT,1.05517529805692,0.30431817277276424,low
ACTN4,83.95078003793715,5.0724751389167124e-20,low
ADCK4,50.43521386242608,1.2316427789030664e-12,low
AKT1S1,26.921534413807358,2.1188486774398513e-07,low
AKT2,73.04776539770074,1.2654979960504334e-17,low
ALDH16A1,38.71646319547834,4.900581958602588e-10,low
ALKBH6,54.57057174862609,1.49964567737218e-13,low
ANKRD27,1.3208086192204822,0.25044698038236,high
AP2A1,0.4534391263904722,0.5007062765740109,low
AP2S1,105.15561619829627,1.1291086913518193e-24,low
APLP1,10.129468197012077,0.0014591750142938914,low
APOC1,16.77607728493008,4.2060225927932437e-05,low
APOC1P1,9.825114270418847,0.0017214500571351085,low
APOC2,61.78541805233784,3.8300013708400786e-15,low
APOC4,2.0530770506214076,0.15189892057062185,low
APOE,24.856244630043648,6.176862621411271e-07,high
ARHGAP33,11.144931988987118,0.0008426156219213219,high
ARHGEF1,21.80875040099379,3.0122322083576445e-06,low
ASPDH,26.079481516360556,3.2764745346168433e-07,low
ATF5,96.85309447894788,7.46667519787613e-23,low
ATP1A3,74.52764759626277,5.979497022831186e-18,high
ATP4A,4.55521587433532,0.032818626372112684,low
ATP5SL,76.63894379413343,2.0525195341423905e-18,low
AURKC,31.470040391142106,2.0254134031217942e-08,low
AXL,15.923162548615974,6.596647318080469e-05,low
B3GNT8,62.53732588372835,2.6144237424317206e-15,low
B9D2,49.04142466796528,2.5061347981243553e-12,low
BAX,77.64882869086551,1.2308927495923442e-18,low
BBC3,3.9402256452223403,0.04714445341615633,low
BCAM,51.28164302227143,8.002042447579866e-13,low
BCAT2,53.17975801769424,3.0437923133751325e-13,low
BCKDHA,1.5143106114904616,0.218482501757432,high
BCL2L12,120.86864873931535,4.082892804778688e-28,low
BCL3,91.94758222287619,8.90030419613119e-22,low
BIRC8,0.00370988780749843,0.9514318025663746,low
BLOC1S3,22.370953951656098,2.2474745676035375e-06,low
BLVRB,44.479747886879714,2.5700204102562012e-11,low
BRSK1,15.649121193054555,7.624800504760785e-05,low
BSPH1,0.04433149284102718,0.8332380790360319,high
C19orf12,30.42224360361004,3.475203194256794e-08,low
C19orf18,10.852763130565526,0.0009864845067060729,low
C19orf33,0.3948066380967438,0.5297835877430386,low
C19orf40,102.24225740502419,4.913061677311205e-24,low
C19orf46,2.9561813580758276,0.08554976448747718,low
C19orf47,47.42807722866955,5.705952110977664e-12,low
C19orf48,88.69957554404616,4.595638234204583e-21,low
C19orf51,29.983254473667138,4.357935422922598e-08,low
C19orf54,16.258807601621932,5.52521499524706e-05,low
C19orf55,61.6555029297564,4.091221340172079e-15,low
