Gene Symbol,Deletion,Diploid,Gain
ACAP3,15.46,70.62,13.92
ACTRT2,15.46,70.62,13.92
AGRN,15.46,70.62,13.92
ANKRD65,15.46,70.62,13.92
ATAD3A,15.46,70.62,13.92
ATAD3B,15.46,70.62,13.92
ATAD3C,15.46,70.62,13.92
AURKAIP1,15.46,70.62,13.92
B3GALT6,15.46,70.62,13.92
C1orf159,15.46,70.62,13.92
C1orf170,15.46,70.62,13.92
C1orf233,15.46,70.62,13.92
C1orf86,15.46,70.62,13.92
CALML6,15.46,70.62,13.92
CCNL2,15.46,70.62,13.92
CDK11A,15.46,70.62,13.92
CDK11B,15.46,70.62,13.92
CPSF3L,15.46,70.62,13.92
DDX11L1|chr1,15.46,70.62,13.92
DVL1,15.46,70.62,13.92
FAM132A,15.46,70.62,13.92
FAM138A|chr1,15.46,70.62,13.92
FAM138F|chr1,15.46,70.62,13.92
FAM213B,15.46,70.62,13.92
FAM41C,15.46,70.62,13.92
FLJ42875,15.46,70.62,13.92
GABRD,15.46,70.62,13.92
GLTPD1,15.46,70.62,13.92
GNB1,15.46,70.62,13.92
HES4,15.46,70.62,13.92
HES5,15.46,70.62,13.92
ISG15,15.46,70.62,13.92
KIAA1751,15.46,70.62,13.92
KLHL17,15.46,70.62,13.92
LINC00115,15.46,70.62,13.92
LOC100129534,15.46,70.62,13.92
LOC100130417,15.46,70.62,13.92
LOC100132062|chr1,15.46,70.62,13.92
LOC100132287|chr1,15.46,70.62,13.92
LOC100133331|chr1,15.46,70.62,13.92
LOC100133445,15.46,70.62,13.92
LOC100288069,15.46,70.62,13.92
LOC115110,15.46,70.62,13.92
LOC148413,15.46,70.62,13.92
LOC254099,15.46,70.62,13.92
LOC643837,15.46,70.62,13.92
LOC729737,15.46,70.62,13.92
MIB2,15.46,70.62,13.92
MIR200A,15.46,70.62,13.92
MIR200B,15.46,70.62,13.92
MIR4251,15.46,70.62,13.92
MIR429,15.46,70.62,13.92
MMEL1,15.46,70.62,13.92
MMP23A,15.46,70.62,13.92
MMP23B,15.46,70.62,13.92
MORN1,15.46,70.62,13.92
MRPL20,15.46,70.62,13.92
MXRA8,15.46,70.62,13.92
NADK,15.46,70.62,13.92
NOC2L,15.46,70.62,13.92
OR4F16|chr1,15.46,70.62,13.92
OR4F29|chr1,15.46,70.62,13.92
OR4F3|chr1,15.46,70.62,13.92
OR4F5,15.46,70.62,13.92
PANK4,15.46,70.62,13.92
PEX10,15.46,70.62,13.92
PLCH2,15.46,70.62,13.92
PLEKHN1,15.46,70.62,13.92
PRDM16,15.8,70.62,13.58
PRKCZ,15.46,70.62,13.92
PUSL1,15.46,70.62,13.92
RER1,15.46,70.62,13.92
RNF223,15.46,70.62,13.92
SAMD11,15.46,70.62,13.92
SCNN1D,15.46,70.62,13.92
SDF4,15.46,70.62,13.92
SKI,15.46,70.62,13.92
SLC35E2B,15.46,70.62,13.92
SLC35E2,15.46,70.62,13.92
SSU72,15.46,70.62,13.92
TAS1R3,15.46,70.62,13.92
TMEM240,15.46,70.62,13.92
TMEM52,15.46,70.62,13.92
TMEM88B,15.46,70.62,13.92
TNFRSF14,15.46,70.62,13.92
TNFRSF18,15.46,70.62,13.92
