Gene Symbol,Deletion,Diploid,Gain
ACAP3,38.94,58.71,2.35
ACTRT2,38.94,58.71,2.35
AGRN,38.94,58.71,2.35
ANKRD65,38.94,58.71,2.35
ATAD3A,38.94,58.71,2.35
ATAD3B,38.94,58.71,2.35
ATAD3C,38.94,58.71,2.35
AURKAIP1,38.94,58.71,2.35
B3GALT6,38.94,58.71,2.35
C1orf159,38.94,58.71,2.35
C1orf170,38.94,58.71,2.35
C1orf233,38.94,58.71,2.35
C1orf86,38.94,58.71,2.35
CALML6,38.94,58.71,2.35
CCNL2,38.94,58.71,2.35
CDK11A,38.94,58.71,2.35
CDK11B,38.94,58.71,2.35
CPSF3L,38.94,58.71,2.35
DDX11L1|chr1,38.94,58.71,2.35
DVL1,38.94,58.71,2.35
FAM132A,38.94,58.71,2.35
FAM138A|chr1,38.94,58.71,2.35
FAM138F|chr1,38.94,58.71,2.35
FAM213B,38.94,58.71,2.35
FAM41C,38.94,58.71,2.35
FLJ42875,38.94,58.71,2.35
GABRD,38.94,58.71,2.35
GLTPD1,38.94,58.71,2.35
GNB1,38.94,58.71,2.35
HES4,38.94,58.71,2.35
HES5,38.94,58.71,2.35
ISG15,38.94,58.71,2.35
KIAA1751,38.94,58.71,2.35
KLHL17,38.94,58.71,2.35
LINC00115,38.94,58.71,2.35
LOC100129534,38.94,58.71,2.35
LOC100130417,38.94,58.71,2.35
LOC100132062|chr1,38.94,58.71,2.35
LOC100132287|chr1,38.94,58.71,2.35
LOC100133331|chr1,38.94,58.71,2.35
LOC100133445,38.94,58.71,2.35
LOC100288069,38.94,58.71,2.35
LOC115110,38.94,58.71,2.35
LOC148413,38.94,58.71,2.35
LOC254099,38.94,58.71,2.35
LOC643837,38.94,58.71,2.35
LOC729737,38.94,58.71,2.35
MIB2,38.94,58.71,2.35
MIR200A,38.94,58.71,2.35
MIR200B,38.94,58.71,2.35
MIR4251,38.94,58.71,2.35
MIR429,38.94,58.71,2.35
MMEL1,38.94,58.71,2.35
MMP23A,38.94,58.71,2.35
MMP23B,38.94,58.71,2.35
MORN1,38.94,58.71,2.35
MRPL20,38.94,58.71,2.35
MXRA8,38.94,58.71,2.35
NADK,38.94,58.71,2.35
NOC2L,38.94,58.71,2.35
OR4F16|chr1,38.94,58.71,2.35
OR4F29|chr1,38.94,58.71,2.35
OR4F3|chr1,38.94,58.71,2.35
OR4F5,38.94,58.71,2.35
PANK4,38.94,58.71,2.35
PEX10,38.94,58.71,2.35
PLCH2,38.94,58.71,2.35
