Gene Symbol,Del_diff,Diploid_diff,Gain_diff
A1CF,66.82,-65.39,-1.44
ABCC2,66.15,-66.3,0.14
ABI1,67.48,-58.49,-9.0
ABLIM1,61.21,-61.73,0.52
ACADSB,60.38,-60.7,0.31
ACBD5,67.48,-58.68,-8.79
ACBD7,65.74,-57.09,-8.65
ACSL5,61.26,-61.95,0.69
ACTA2,66.31,-66.26,-0.05
ACTR1A,65.25,-65.54,0.28
ACTR3BP5,65.54,-60.12,-5.43
ADAM12,59.99,-60.14,0.14
ADAM8,60.12,-60.07,-0.05
ADAMTS14,67.29,-67.03,-0.26
ADARB2,65.18,-54.57,-10.6
ADARB2-AS1,65.18,-54.57,-10.6
ADD3,63.61,-63.94,0.31
ADK,67.28,-67.18,-0.09
ADO,67.12,-67.0,-0.12
ADRA2A,62.85,-63.52,0.66
ADRB1,61.04,-61.56,0.52
AFAP1L2,61.04,-61.56,0.52
AGAP11,65.98,-65.71,-0.27
AGAP4,66.02,-64.92,-1.1
AGAP5,67.28,-67.0,-0.26
AGAP6,66.66,-65.39,-1.27
AGAP7,66.46,-65.22,-1.25
AGAP8,66.46,-65.22,-1.25
AGAP9,66.02,-64.92,-1.1
AIFM2,67.29,-67.03,-0.27
AKR1C1,65.59,-55.36,-10.23
AKR1C2,65.59,-55.36,-10.23
AKR1C3,65.39,-55.36,-10.03
AKR1C4,65.39,-55.55,-9.84
AKR1CL1,65.39,-55.36,-10.03
AKR1E2,65.58,-55.36,-10.23
ALDH18A1,66.33,-66.65,0.31
ALOX5,65.16,-64.4,-0.76
ANAPC16,67.3,-67.2,-0.09
ANK3,67.15,-66.47,-0.68
ANKRD1,65.1,-65.57,0.47
ANKRD16,65.2,-55.72,-9.48
ANKRD2,65.35,-65.83,0.48
ANKRD22,66.31,-66.26,-0.05
ANKRD26,67.48,-58.49,-9.0
ANKRD30A,65.86,-58.09,-7.78
ANTXRL,66.02,-64.92,-1.1
ANXA11,66.32,-65.86,-0.47
ANXA2P3,67.29,-67.17,-0.12
ANXA7,67.28,-67.0,-0.27
ANXA8,66.02,-64.92,-1.1
ANXA8L1,66.02,-64.92,-1.1
ANXA8L2,66.02,-64.92,-1.1
AP3M1,67.45,-67.0,-0.44
APBB1IP,66.96,-58.71,-8.26
ARHGAP12,66.77,-57.87,-8.9
ARHGAP19,64.78,-65.27,0.48
ARHGAP19-SLIT1,65.29,-65.79,0.48
ARHGAP21,66.79,-58.17,-8.63
ARHGAP22,65.82,-65.09,-0.74
ARID5B,67.15,-66.66,-0.49
ARL3,65.62,-65.54,-0.08
ARL5B,66.08,-57.09,-8.99
ARMC3,66.94,-58.15,-8.8
ARMC4,67.65,-58.68,-8.96
ARMS2,60.75,-60.9,0.14
AS3MT,65.05,-64.98,-0.08
ASAH2,66.66,-65.39,-1.27
ASAH2B,66.66,-65.39,-1.27
ASB13,65.03,-55.36,-9.67
ASCC1,67.47,-67.38,-0.09
ATAD1,65.94,-65.89,-0.05
ATE1,60.58,-60.9,0.31
ATOH7,67.5,-67.23,-0.26
ATP5C1,65.19,-55.94,-9.26
ATRNL1,61.36,-61.71,0.34
AVPI1,65.34,-66.01,0.66
BAG3,61.43,-61.59,0.14
BAMBI,67.14,-58.15,-8.99
BBIP1,63.61,-63.91,0.28
BCCIP,60.16,-60.31,0.14
BEND7,65.22,-56.56,-8.67
BICC1,66.98,-66.44,-0.54
BLNK,66.49,-66.82,0.31
BLOC1S2,66.18,-66.1,-0.08
BMI1,66.97,-57.95,-9.01
BMPR1A,65.97,-65.71,-0.27
BMS1,64.45,-63.72,-0.73
BMS1P1,66.19,-65.26,-0.93
BMS1P4,67.28,-67.0,-0.26
BMS1P5,66.19,-65.26,-0.93
BNIP3,59.77,-60.11,0.34
BTAF1,65.61,-65.91,0.29
BTBD16,60.55,-60.7,0.14
BTRC,65.62,-65.91,0.29
